shapeid,x,y
0,-1.6572,37.389
0,-1.6572,37.3826
0,-1.6562,37.3831
0,-1.6561,37.3832
0,-1.656,37.3832
0,-1.6559,37.3833
0,-1.6558,37.3833
0,-1.6556,37.3834
0,-1.6555,37.3834
0,-1.6553,37.3834
0,-1.6552,37.3834
0,-1.6551,37.3834
0,-1.655,37.3834
0,-1.6548,37.3834
0,-1.6547,37.3833
0,-1.6546,37.3833
0,-1.6544,37.3832
0,-1.6543,37.3832
0,-1.6542,37.3831
0,-1.6541,37.383
0,-1.654,37.383
0,-1.6539,37.3829
0,-1.6538,37.3828
0,-1.6537,37.3827
0,-1.6536,37.3826
0,-1.6535,37.3825
0,-1.6534,37.3824
0,-1.6534,37.3823
0,-1.6533,37.3821
0,-1.6533,37.382
0,-1.6532,37.3819
0,-1.6532,37.3817
0,-1.6532,37.3816
0,-1.6532,37.3815
0,-1.6532,37.3813
0,-1.6532,37.3811
0,-1.6499,37.3748
0,-1.6499,37.3747
0,-1.6498,37.3746
0,-1.6498,37.3745
0,-1.6498,37.3744
0,-1.6497,37.3743
0,-1.6497,37.3742
0,-1.6496,37.3741
0,-1.6496,37.374
0,-1.6496,37.3739
0,-1.6496,37.3738
0,-1.6495,37.3738
0,-1.6495,37.3737
0,-1.6495,37.3735
0,-1.6495,37.3734
0,-1.6495,37.3733
0,-1.6495,37.3732
0,-1.6495,37.373
0,-1.6495,37.3729
0,-1.6495,37.3728
0,-1.6495,37.3727
0,-1.6495,37.3726
0,-1.6495,37.3725
0,-1.6495,37.3724
0,-1.6495,37.3722
0,-1.6496,37.3721
0,-1.6496,37.372
0,-1.6496,37.3719
0,-1.6496,37.3718
0,-1.6497,37.3717
0,-1.6497,37.3716
0,-1.6498,37.3715
0,-1.6498,37.3714
0,-1.6498,37.3713
0,-1.6499,37.3712
0,-1.6499,37.3711
0,-1.65,37.371
0,-1.65,37.3709
0,-1.6501,37.3709
0,-1.6501,37.3708
0,-1.6502,37.3707
0,-1.6503,37.3705
0,-1.6504,37.3704
0,-1.6504,37.3703
0,-1.6505,37.3703
0,-1.6505,37.3702
0,-1.6506,37.3701
0,-1.6507,37.3701
0,-1.6507,37.37
0,-1.6508,37.3699
0,-1.6509,37.3699
0,-1.651,37.3698
0,-1.651,37.3697
0,-1.6511,37.3697
0,-1.6512,37.3696
0,-1.6513,37.3696
0,-1.6514,37.3695
0,-1.6515,37.3695
0,-1.6515,37.3694
0,-1.6516,37.3694
0,-1.664,37.3625
0,-1.6709,37.3633
0,-1.6802,37.3544
0,-1.683,37.3457
0,-1.683,37.3458
0,-1.6835,37.3463
0,-1.69,37.3486
0,-1.6901,37.3486
0,-1.6901,37.3487
0,-1.6902,37.3487
0,-1.6903,37.3488
0,-1.6904,37.3488
0,-1.6905,37.3489
0,-1.6906,37.349
0,-1.6907,37.3491
0,-1.6908,37.3492
0,-1.6909,37.3493
0,-1.691,37.3494
0,-1.6911,37.3495
0,-1.6911,37.3496
0,-1.6912,37.3497
0,-1.6912,37.3499
0,-1.6912,37.35
0,-1.6913,37.3501
0,-1.6913,37.3503
0,-1.6913,37.3504
0,-1.6913,37.3505
0,-1.6913,37.3507
0,-1.6913,37.3508
0,-1.6913,37.3509
0,-1.6912,37.3511
0,-1.6912,37.3512
0,-1.691,37.3519
0,-1.6938,37.3525
0,-1.6938,37.3526
0,-1.6967,37.3654
0,-1.6906,37.389
1,-2.4461,36.9779
1,-2.3802,36.8429
1,-2.3791,36.843
1,-2.379,36.843
1,-2.3789,36.8431
1,-2.3787,36.8431
1,-2.3786,36.8431
1,-2.3784,36.843
1,-2.3783,36.843
1,-2.3782,36.843
1,-2.3781,36.8429
1,-2.3779,36.8429
1,-2.3778,36.8428
1,-2.3777,36.8428
1,-2.3776,36.8427
1,-2.3775,36.8426
1,-2.3774,36.8425
1,-2.3773,36.8425
1,-2.3772,36.8424
1,-2.3771,36.8423
1,-2.377,36.8421
1,-2.3769,36.8419
1,-2.3768,36.8418
1,-2.3768,36.8417
1,-2.3767,36.8416
1,-2.3767,36.8415
1,-2.3767,36.8414
1,-2.3767,36.8413
1,-2.3759,36.8345
1,-2.3802,36.8338
1,-2.4127,36.82
1,-2.4331,36.8163
1,-2.4423,36.8183
1,-2.4694,36.8277
1,-2.4814,36.8299
1,-2.5005,36.8273
1,-2.5017,36.8341
1,-2.5017,36.8342
1,-2.5017,36.8343
1,-2.5017,36.8345
1,-2.5017,36.8346
1,-2.5017,36.8347
1,-2.5017,36.8348
1,-2.5017,36.8349
1,-2.5017,36.835
1,-2.5016,36.8351
1,-2.5016,36.8352
1,-2.5015,36.8354
1,-2.5015,36.8355
1,-2.5014,36.8356
1,-2.5013,36.8357
1,-2.5012,36.8358
1,-2.5011,36.8359
1,-2.501,36.836
1,-2.5009,36.8361
1,-2.5008,36.8362
1,-2.5007,36.8362
1,-2.5006,36.8363
1,-2.5005,36.8364
1,-2.5004,36.8364
1,-2.5002,36.8364
1,-2.5001,36.8365
1,-2.5,36.8365
1,-2.4981,36.8367
1,-2.5014,36.8549
1,-2.4923,36.8769
1,-2.4584,36.9046
1,-2.4461,36.9223
1,-2.4521,36.9301
1,-2.4633,36.9328
1,-2.4904,36.9334
1,-2.4905,36.9334
1,-2.4905,36.9668
1,-2.4821,36.9723
1,-2.4718,36.9759
2,-3.1463,36.7813
2,-3.1459,36.7779
2,-3.1237,36.7779
2,-3.1198,36.78
2,-3.1119,36.7872
2,-3.1126,36.789
2,-3.1028,36.7852
2,-3.0899,36.7762
2,-3.0738,36.7494
2,-3.0765,36.7498
2,-3.1567,36.7445
2,-3.2094,36.7522
2,-3.1957,36.7794
2,-3.1696,36.7993
2,-3.1459,36.8002
2,-3.1459,36.8001
2,-3.1453,36.7962
3,-3.4724,36.7439
3,-3.4824,36.6993
3,-3.4824,36.6992
3,-3.516,36.721
3,-3.5361,36.7184
3,-3.5498,36.7124
3,-3.5721,36.721
3,-3.5684,36.7335
3,-3.5683,36.7335
3,-3.5683,36.7336
3,-3.5683,36.7337
3,-3.5682,36.7338
3,-3.5681,36.7339
3,-3.568,36.734
3,-3.5679,36.7341
3,-3.5678,36.7342
3,-3.5677,36.7343
3,-3.5676,36.7343
3,-3.5675,36.7344
3,-3.5674,36.7345
3,-3.5673,36.7345
3,-3.5672,36.7346
3,-3.567,36.7346
3,-3.5669,36.7347
3,-3.5668,36.7347
3,-3.5667,36.7347
3,-3.5666,36.7347
3,-3.5665,36.7347
3,-3.5664,36.7347
3,-3.5662,36.7347
3,-3.5661,36.7347
3,-3.566,36.7347
3,-3.566,36.7346
3,-3.5652,36.7345
3,-3.5519,36.7645
3,-3.5463,36.7714
3,-3.5293,36.7749
3,-3.5292,36.7749
3,-3.5079,36.7701
3,-3.4878,36.7604
3,-3.4878,36.7603
3,-3.474,36.7489
3,-3.4731,36.7469
4,-4.816,36.5089
4,-4.8147,36.5025
4,-4.8132,36.5002
4,-4.8131,36.5001
4,-4.8131,36.5
4,-4.813,36.4999
4,-4.813,36.4998
4,-4.813,36.4997
4,-4.8129,36.4996
4,-4.8129,36.4995
4,-4.8129,36.4994
4,-4.8129,36.4992
4,-4.8128,36.4991
4,-4.8129,36.499
4,-4.8129,36.4989
4,-4.8803,36.5057
4,-4.9027,36.5065
4,-4.9122,36.504
4,-4.9235,36.4969
4,-4.9942,36.4571
4,-5.0001,36.4567
4,-5.0057,36.4722
4,-5.0057,36.4723
4,-5.0057,36.4724
4,-5.0058,36.4725
4,-5.0058,36.4726
4,-5.0058,36.4727
4,-5.0058,36.4728
4,-5.0059,36.4728
4,-5.0059,36.473
4,-5.0059,36.4731
4,-5.0059,36.4732
4,-5.0059,36.4734
4,-5.0059,36.4735
4,-5.0059,36.4736
4,-5.0058,36.4737
4,-5.0058,36.4739
4,-5.0057,36.474
4,-5.0057,36.4741
4,-5.0056,36.4743
4,-5.0056,36.4744
4,-5.0055,36.4745
4,-5.0054,36.4746
4,-5.0053,36.4747
4,-5.0052,36.4748
4,-5.0051,36.4749
4,-5.005,36.4749
4,-5.0049,36.475
4,-5.0048,36.475
4,-5.0047,36.4751
4,-5.0046,36.4751
4,-5.0045,36.4752
4,-5.0044,36.4752
4,-5.0043,36.4752
4,-5.003,36.4755
4,-5.0023,36.4758
4,-5.0047,36.4912
4,-5.0014,36.5109
4,-4.9918,36.5251
4,-4.9785,36.5314
4,-4.9457,36.5334
4,-4.9462,36.5433
4,-4.9312,36.5495
4,-4.9311,36.5495
4,-4.8376,36.5354
4,-4.8274,36.5276
4,-4.8204,36.5187
5,-5.1123,36.4779
5,-5.0886,36.4526
5,-5.0864,36.4537
5,-5.0863,36.4538
5,-5.0862,36.4538
5,-5.086,36.4539
5,-5.0859,36.4539
5,-5.0858,36.4539
5,-5.0857,36.4539
5,-5.0856,36.4539
5,-5.0855,36.4539
5,-5.0854,36.4539
5,-5.0852,36.4539
5,-5.0851,36.4539
5,-5.085,36.4539
5,-5.0849,36.4538
5,-5.0847,36.4538
5,-5.0846,36.4537
5,-5.0845,36.4537
5,-5.0844,36.4536
5,-5.0843,36.4535
5,-5.0842,36.4534
5,-5.0841,36.4533
5,-5.084,36.4532
5,-5.0839,36.4531
5,-5.0838,36.453
5,-5.0785,36.4444
5,-5.0784,36.4444
5,-5.0784,36.4443
5,-5.0784,36.4442
5,-5.1087,36.429
5,-5.121,36.4256
5,-5.1576,36.4219
5,-5.1737,36.4174
5,-5.1866,36.4112
5,-5.1904,36.4071
5,-5.1945,36.4184
5,-5.1945,36.4189
5,-5.1941,36.4203
5,-5.1922,36.4238
5,-5.1759,36.4417
5,-5.1273,36.4772
6,-5.3645,36.2265
6,-5.3537,36.2048
6,-5.3519,36.207
6,-5.3518,36.2071
6,-5.3517,36.2072
6,-5.3516,36.2072
6,-5.3515,36.2073
6,-5.3514,36.2074
6,-5.3513,36.2075
6,-5.3512,36.2075
6,-5.351,36.2076
6,-5.3509,36.2076
