SOVEREIGNT,LABEL_X,LABEL_Y
Indonesia,101.892949,-0.954404
Malaysia,113.83708,2.528667
Chile,-72.318871,-38.151771
Bolivia,-64.593433,-16.666015
Peru,-72.90016,-12.976679
Argentina,-64.173331,-33.501159
United Kingdom,33.790583,35.011042
Cyprus,33.084182,34.913329
India,79.358105,22.686852
China,106.337289,32.498178
Israel,34.847915,30.911148
Israel,35.291341,32.047431
Lebanon,35.992892,34.133368
Ethiopia,39.0886,8.032795
South Sudan,,
Somalia,,
Kenya,37.907632,0.549043
Malawi,33.608082,-13.386737
United Republic of Tanzania,34.959183,-6.051866
Syria,38.277783,35.006636
Somaliland,,
France,2.552275,46.696113
Suriname,-55.91094,4.143987
Guyana,-58.942643,5.124317
South Korea,,
North Korea,,
Morocco,-7.187296,31.650723
Western Sahara,-12.630304,23.967592
Costa Rica,-84.077922,10.0651
Nicaragua,-85.069347,12.670697
Republic of the Congo,,
Democratic Republic of the Congo,,
Bhutan,90.040294,27.536685
Ukraine,32.140865,49.724739
Belarus,28.417701,53.821888
Namibia,17.108166,-20.575298
South Africa,23.665734,-29.708776
France,-63.049399,18.081302
Netherlands,-63.070133,18.04088
Oman,57.336553,22.120427
Uzbekistan,64.005429,41.693603
Kazakhstan,68.685548,49.054149
Tajikistan,72.587276,38.199835
Lithuania,24.089932,55.103703
Brazil,-49.55945,-12.098687
Uruguay,-55.966942,-32.961127
Mongolia,104.150405,45.997488
Russia,44.686469,58.249357
Czechia,15.377555,49.882364
Germany,9.678348,50.961733
Estonia,25.867126,58.724865
Latvia,25.458723,57.066872
Norway,,
Sweden,19.01705,65.85918
Finland,27.276449,63.252361
Vietnam,105.387292,21.715416
Cambodia,104.50487,12.647584
Luxembourg,6.07762,49.733732
United Arab Emirates,54.547256,23.466285
Belgium,4.800448,50.785392
Georgia,43.735724,41.870087
North Macedonia,21.555839,41.558223
Albania,20.11384,40.654855
Azerbaijan,47.210994,40.402387
Kosovo,,
Turkey,34.508268,39.345388
Spain,-3.464718,40.090953
Laos,102.533912,19.431821
Kyrgyzstan,74.532637,41.66854
Armenia,44.800564,40.459077
Denmark,9.018163,55.966965
Libya,18.011015,26.638944
Tunisia,9.007881,33.687263
Romania,24.972624,45.733237
Hungary,19.447867,47.086841
Slovakia,19.049868,48.734044
Poland,19.490468,51.990316
Ireland,-7.798588,53.078726
United Kingdom,,
Greece,21.72568,39.492763
Zambia,26.395298,-14.660804
Sierra Leone,-11.763677,8.617449
Guinea,-10.016402,10.618516
Liberia,-9.460379,6.447177
Central African Republic,20.906897,6.989681
Sudan,29.260657,16.330746
Djibouti,42.498825,11.976343
Eritrea,38.285566,15.787401
Austria,14.130515,47.518859
Iraq,43.26181,33.09403
Italy,11.076907,44.732482
Switzerland,7.463965,46.719114
Iran,,
Netherlands,,
Liechtenstein,9.559439,47.111405
Ivory Coast,-5.568618,7.49139
Republic of Serbia,20.787989,44.189919
Mali,-2.038455,18.692713
Senegal,-14.778586,15.138125
Nigeria,7.50322,9.439799
Benin,2.352018,10.324775
Angola,17.984249,-12.182762
Croatia,16.37241,45.805799
Slovenia,14.915312,46.06076
Qatar,51.143509,25.237383
Saudi Arabia,44.6996,23.806908
Botswana,24.179216,-22.102634
Zimbabwe,29.925444,-18.91164
Pakistan,68.545632,29.328389
Bulgaria,25.15709,42.508785
Thailand,101.073198,15.45974
San Marino,12.441206,43.933916
Haiti,-72.224051,19.263784
Dominican Republic,-70.653998,19.104137
Chad,18.645041,15.142959
Kuwait,47.313999,29.413628
El Salvador,-88.890124,13.685371
Guatemala,-90.497134,14.982133
East Timor,125.854679,-8.803705
Brunei,114.551943,4.448298
Monaco,7.398291,43.739652
Algeria,2.808241,27.397406
Mozambique,37.83789,-13.94323
eSwatini,31.467264,-26.533676
Burundi,29.917086,-3.332836
Rwanda,30.103894,-1.897196
Myanmar,95.804497,21.573855
Bangladesh,89.684963,24.214956
Andorra,1.539409,42.547643
Afghanistan,66.496586,34.164262
Montenegro,19.143727,42.803101
Bosnia and Herzegovina,18.06841,44.091051
Uganda,32.948555,1.972589
Cuba,,
Cuba,-77.975855,21.334024
Honduras,-86.887604,14.794801
Ecuador,-78.188375,-1.259076
Colombia,-73.174347,3.373111
Paraguay,-60.146394,-21.674509
Brazilian Island,-57.623042,-30.187555
Portugal,-8.271754,39.606675
Moldova,28.487904,47.434999
Turkmenistan,58.676647,39.855246
Jordan,36.375991,30.805025
Nepal,83.639914,28.297925
Lesotho,28.246639,-29.480158
Cameroon,12.473488,4.585041
Gabon,11.835939,-0.437739
Niger,9.504356,17.446195
Burkina Faso,-1.36388,12.673048
Togo,1.058113,8.80722
Ghana,-1.036941,7.717639
Guinea-Bissau,-14.52413,12.163712
United Kingdom,-5.3467,36.129426
United States of America,-97.482602,39.538479
Canada,-101.9107,60.324287
Mexico,-102.289448,23.919988
Belize,-88.712962,17.202068
Panama,-80.352106,8.72198
Venezuela,,
Papua New Guinea,143.910216,-5.695285
Egypt,,
Yemen,,
Mauritania,-9.740299,19.587062
Equatorial Guinea,8.9902,2.333
Gambia,,
China,,
Vatican,12.453418,41.903323
Northern Cyprus,,
Cyprus No Mans Area,33.288134,35.140713
Kashmir,77.129553,35.340606
Kazakhstan,63.383897,45.978332
United Kingdom,32.979025,34.60083
Southern Patagonian Ice Field,-73.31378,-49.511034
Bir Tawil,33.673428,21.860442
Antarctica,35.885455,-79.843222
Australia,134.04972,-24.129522
Denmark,-39.335251,74.319387
Fiji,177.975427,-17.826099
New Zealand,172.787,-39.759
France,165.084004,-21.064697
Madagascar,46.704241,-18.628288
Philippines,122.465,11.198
Sri Lanka,80.704823,7.581097
Netherlands,-68.920578,12.145039
Netherlands,-69.972795,12.5174
The Bahamas,,
United Kingdom,-71.752704,21.81663
Taiwan,120.868204,23.652408
Japan,138.44217,36.142538
France,-56.332352,47.040344
Iceland,-18.673711,64.779286
United Kingdom,,
France,-149.46157,-17.628081
France,69.122136,-49.303721
Seychelles,55.480175,-4.676659
Kiribati,-157.384577,1.820437
Marshall Islands,171.193609,7.082568
Trinidad and Tobago,-60.9184,10.9989
Grenada,-61.680461,12.113156
Saint Vincent and the Grenadines,-61.3359,13.0879
Barbados,-59.568966,13.163709
Saint Lucia,-60.980094,13.892371
Dominica,-61.344958,15.458829
United States of America,166.644535,19.285663
United Kingdom,-62.188252,16.73717
Antigua and Barbuda,-61.790612,17.352249
Saint Kitts and Nevis,-62.757975,17.336558
United States of America,-64.779172,17.746706
France,-62.833193,17.901987
United States of America,-66.481065,18.234668
United Kingdom,-63.026361,18.242979
United Kingdom,-64.63661,18.426606
Jamaica,-77.318767,18.137124
United Kingdom,-81.24055,19.319862
United Kingdom,-64.763573,32.296592
Australia,73.50521,-53.103462
United Kingdom,,
Mauritius,57.565848,-20.299506
Comoros,43.318094,-11.727683
São Tomé and Principe,7.021,0.9709
Cabo Verde,-23.639434,15.074761
Malta,14.433005,35.892886
United Kingdom,-2.090146,49.220808
United Kingdom,-2.561736,49.463533
United Kingdom,-4.530069,54.220833
Finland,19.869671,60.156467
Denmark,-7.058429,62.185604
Australia,105.67259,-10.490789
United Kingdom,71.348349,-6.190826
Singapore,103.816925,1.366587
Australia,167.954531,-29.033042
New Zealand,-159.785675,-21.215993
Tonga,-175.163014,-21.210026
France,-178.137436,-14.286415
Samoa,-172.438241,-13.639139
Solomon Islands,159.170468,-8.029548
Tuvalu,179.209587,-8.513717
Maldives,73.507554,4.174441
Nauru,166.932644,-0.520261
Federated States of Micronesia,,
United Kingdom,-31.063179,-55.683402
United Kingdom,-58.738602,-51.608913
Vanuatu,166.908762,-15.37153
New Zealand,-169.862565,-19.045956
United States of America,-170.747153,-14.32671
Palau,134.580157,7.518252
United States of America,144.703614,13.354173
United States of America,145.734397,15.188188
Bahrain,50.554816,26.055972
Australia,154.390595,-21.029311
Spratly Islands,,
France,-109.22045,10.297324
China,,
Australia,123.586368,-12.432571
Bajo Nuevo Bank (Petrel Is.),,
Serranilla Bank,,
Scarborough Reef,117.753812,15.152039
